idCITES,speciesLabel,nomScientific,IUCNtaxonID,IUCNconservationstatusLabel,taxonCommonName
10790,Trachypithecus hatinhensis,Trachypithecus hatinhensis,40789,espèce en danger,Ha-Tinh Langur
10790,Trachypithecus hatinhensis,Trachypithecus hatinhensis,40789,espèce en danger,Hatinh Langur
10790,Trachypithecus hatinhensis,Trachypithecus hatinhensis,40789,espèce en danger,Hatinh Leaf Monkey
10790,Trachypithecus hatinhensis,Trachypithecus hatinhensis,40789,espèce en danger,Stripe-headed Black Langur
10791,Crispatotrochus rugosus,,,,
10794,Achatinella turgida,,,,
10801,Acerodon humilis,Acerodon humilis,138,espèce en danger,Talaud Acerodon
10801,Acerodon humilis,Acerodon humilis,138,espèce en danger,Talaud Flying Fox
10801,Acerodon humilis,Acerodon humilis,138,espèce en danger,Talaud Flying-fox
10801,Acerodon humilis,Acerodon humilis,138,espèce en danger,Talaud Fruit Bat
10808,Moseleya latistellata,Moseleya latistellata,132870,espèce vulnérable,Moseleya coral
10812,Mantella manery,Mantella manery,57447,espèce vulnérable,Marojejy mantella
10812,Mantella manery,Mantella manery,57447,espèce vulnérable,Marojejy Mantella
10812,Mantella manery,Mantella manery,57447,espèce vulnérable,Marojezy Mountain Mantella
10820,Tupinambis quadrilineatus,,,,
10821,Kinyongia asheorum,Kinyongia asheorum,172540,espèce quasi menacée,Mount Nyiro Bearded Chameleon
10823,Callicebus regulus,,,,
10825,Galaxea cryptoramosa,,,,
10827,Plerogyra discus,Plerogyra discus,132974,espèce vulnérable,Plerogyra coral
10828,Uncia uncia,,,,
10830,Stylaster cocosensis,,,,
10834,Paracyathus humilis,,,,
10837,Antipathes caribbeana,,,,
10840,Notophyllia hecki,,,,
10841,Brookesia lineata,Brookesia lineata,172909,espèce en danger,Lined Leaf Chameleon
10848,Antipathes chota,,,,
10858,Javania fusca,,,,
10860,Acropora togianensis,,,,
10867,Trochocyathus cooperi,,,,
10870,Scapophyllia cylindrica,,,,
10872,Porites desilveri,Porites desilveri,132959,espèce en danger,Stony coral
10893,Truncatoflabellum arcuatum,,,,
10894,Tropidophis pardalis,Tropidophis pardalis,178404,préoccupation mineure,Leopard Dwarf Boa
10894,Tropidophis pardalis,Tropidophis pardalis,178404,préoccupation mineure,Spotted Brown Trope
10896,Pteropus intermedius,Pteropus intermedius,136841,données insuffisantes,Andersen's Flying Fox
10896,Pteropus intermedius,Pteropus intermedius,136841,données insuffisantes,Andersen’s Flying Fox
10900,Hippocampus multispinus,,,,
10904,Crispatotrochus irregularis,,,,
10911,Stylaster divergens,,,,
10914,Leucopternis albicollis,,,,
10918,Ameerega pepperi,,,,
10920,Antipathes rhipidion,,,,
10923,Effraie de Soumagne,Tyto soumagnei,22688493,espèce vulnérable,Red Owl
10923,Effraie de Soumagne,Tyto soumagnei,22688493,espèce vulnérable,Madagascar Grass Owl
10923,Effraie de Soumagne,Tyto soumagnei,22688493,espèce vulnérable,Madagascar Red Owl
10923,Effraie de Soumagne,Tyto soumagnei,22688493,espèce vulnérable,Soumagne's Owl
10930,Trioceros werneri,Trioceros werneri,172547,préoccupation mineure,Wemer's Chameleon
10930,Trioceros werneri,Trioceros werneri,172547,préoccupation mineure,Wemer's Three-horned Chameleon
10931,Lepidopora biserialis,,,,
10935,Caulastrea curvata,Caulastraea curvata,133695,espèce vulnérable,Caulastrea coral
10937,Antipathes umbratica,,,,
10940,Anthemiphyllia spinifera,,,,
10943,Bathypathes platycaulus,,,,
10951,Caryophyllia (Caryophyllia) seguenzae,,,,
10956,Bunopithecus hoolock,,,,
10965,Porites iwayamaensis,,,,
10969,Pitta gurneyi,,,,
10970,Balanophyllia serrata,,,,
10974,Montipora floweri,,,,
10981,Millepora striata,Millepora striata,133466,espèce en danger,Fire coral
10996,Halomitra meierae,,,,
11002,Cordylus oelofseni,Cordylus oelofseni,110159854,espèce quasi menacée,Oelofsen's girdled lizard
11007,Naja sagittifera,,,,
11008,Favia helianthoides,,,,
11011,Astrangia atrata,,,,
11012,Alveopora daedalea,Alveopora daedalea,133093,espèce vulnérable,Alveopora coral
11013,Favites paraflexuosa,,,,
11015,Javania pseudoalabastra,,,,
11019,Porites deformis,Porites deformis,133555,espèce quasi menacée,Stony coral
11021,Coscinaraea monile,Coscinaraea monile,133323,préoccupation mineure,Wrinkle coral
11022,Coscinaraea marshae,,,,
11024,Brookesia betschi,Brookesia betschi,172912,espèce quasi menacée,Marojejy Leaf Chameleon
11029,Culicia australiensis,,,,
11032,Crispatotrochus squiresi,,,,
11039,Favia maxima,Favia maxima,132878,espèce quasi menacée,Knob coral
11045,Pygargue de Sanford,Haliaeetus sanfordi,22695105,espèce vulnérable,Forest Fish Eagle
11045,Pygargue de Sanford,Haliaeetus sanfordi,22695105,espèce vulnérable,Sanford's Fish-Eagle
11045,Pygargue de Sanford,Haliaeetus sanfordi,22695105,espèce vulnérable,Sanford's Sea Eagle
11045,Pygargue de Sanford,Haliaeetus sanfordi,22695105,espèce vulnérable,Sanford's Sea-eagle
11045,Pygargue de Sanford,Haliaeetus sanfordi,22695105,espèce vulnérable,Solomon Fish-eagle
11050,Galago zanzibaricus,,,,
11051,Hibou strié,,,,
11052,Trochocyathus burchae,,,,
11056,Trioceros affinis,,,,
11058,Leucopternis lacernulatus,,,,
11060,Polycyathus palifera,,,,
11076,Alveopora verrilliana,Alveopora verrilliana,133156,espèce vulnérable,Alveopora coral
11077,Distichopora nitida,,,,
11080,Ninoxe rouilleuse,Ninox ios,22728610,espèce vulnérable,Cinnabar boobook
11080,Ninoxe rouilleuse,Ninox ios,22728610,espèce vulnérable,Cinnabar Boobook
11080,Ninoxe rouilleuse,Ninox ios,22728610,espèce vulnérable,Cinnabar Hawk-Owl
11085,Antipathes virgata,,,,
11086,Carduelis yarrellii,,,,
11091,Deltocyathus philippinensis,,,,
11092,Siderastrea savignyana,Siderastrea savignyana,133590,préoccupation mineure,African pillow coral
11093,Crypthelia medioatlantica,,,,
11095,Leiopython biakensis,,,,
11097,Flabellum gardineri,,,,
11105,Platygyra yaeyamaensis,Platygyra yaeyamaensis,133067,espèce vulnérable,Brain coral
11106,Madracis asanoi,,,,
11107,Notocyathus conicus,,,,
11108,Caïque vautourin,Pyrilia vulturina,22686145,espèce vulnérable,Vulturine Parrot
11109,Hydnophora grandis,,,,
11111,Hippocampus spinosissimus,Hippocampus spinosissimus,10084,espèce vulnérable,Hedgehog seahorse
11111,Hippocampus spinosissimus,Hippocampus spinosissimus,10084,espèce vulnérable,Hedgehog Seahorse
11114,Errina chathamensis,,,,
11115,Pocillopora danae,Pocillopora danae,133097,espèce vulnérable,Cauliflower coral
