idCITES,wdItem,scientificName,IUCNtaxonID,IUCNconservationstatusLabel_en,taxonCommonNames
10683,http://www.wikidata.org/entity/Q3944355,Anacropora pillai,133524,data deficient,
10689,http://www.wikidata.org/entity/Q1261221,Metallura odomae,22687998,least concern,Neblina Metaltail ; Métallure du Chinguela
10710,http://www.wikidata.org/entity/Q13401576,Astreopora expansa,133227,near threatened,Staghorn coral
10713,http://www.wikidata.org/entity/Q3948182,Psammocora albopicta,133346,data deficient,
10719,http://www.wikidata.org/entity/Q3948011,Caryophyllia perculta,,,
10722,http://www.wikidata.org/entity/Q4009386,Antipathella strigosa,,,
10730,http://www.wikidata.org/entity/Q3956099,Psammocora vaughani,133676,near threatened,
10734,http://www.wikidata.org/entity/Q3944149,Dendrophyllia arbuscula,,,
10738,http://www.wikidata.org/entity/Q3947048,Stylophora mamillata,133169,least concern,
10740,http://www.wikidata.org/entity/Q4002955,Antipathes lenta,,,
10741,http://www.wikidata.org/entity/Q4004391,Arachnopathes ericoides,,,
10743,http://www.wikidata.org/entity/Q3940331,Coenocyathus goreaui,,,
10744,http://www.wikidata.org/entity/Q13633358,Favites bestae,133578,near threatened,
10746,http://www.wikidata.org/entity/Q3945653,Caryophyllia ephyala,,,
10748,http://www.wikidata.org/entity/Q1269567,Charmosyna meeki,22684668,near threatened,Meek's Lorikeet ; Lori de Meek
10749,http://www.wikidata.org/entity/Q3944330,Acropora indiana,,,
10750,http://www.wikidata.org/entity/Q3949160,Caryophyllia abyssorum,,,
10752,http://www.wikidata.org/entity/Q2562681,Stylaster inornatus,,,
10753,http://www.wikidata.org/entity/Q3940581,Pocillopora capitata,132958,least concern,
10755,http://www.wikidata.org/entity/Q3942727,Anacropora forbesi,133341,least concern,
10757,http://www.wikidata.org/entity/Q727258,Poicephalus crassus,22685299,least concern,Niam-niam Parrot ; Niam-Niam Parrot ; Perroquet des Niam-niam ; Perroquet des Niam-niams
10764,http://www.wikidata.org/entity/Q14158993,Porites murrayensis,133105,near threatened,Stony coral
10770,http://www.wikidata.org/entity/Q5525159,Hippocampus debelius,47728610,data deficient,
10771,http://www.wikidata.org/entity/Q3952249,Labyrinthocyathus langae,,,
10774,http://www.wikidata.org/entity/Q2926137,Brookesia dentata,172808,endangered species,
10775,http://www.wikidata.org/entity/Q1193073,Micrastur buckleyi,22696296,least concern,Buckley's Forest Falcon ; Buckley's Forest-falcon ; Buckley's Forest-Falcon ; Lesser Collared Forest-falcon ; Traylor's Forest-falcon ; Carnifex de Buckley
10783,http://www.wikidata.org/entity/Q3954475,Sphenotrochus imbricaticostatus,,,
10788,http://www.wikidata.org/entity/Q16480279,Acropora spathulata,132937,least concern,
10790,http://www.wikidata.org/entity/Q1206187,Trachypithecus hatinhensis,40789,endangered species,Ha Tinh langur ; Ha-Tinh Langur ; Hatinh Langur ; Hatinh Leaf Monkey ; Stripe-headed Black Langur
10791,http://www.wikidata.org/entity/Q3955528,Crispatotrochus rugosus,,,
10794,http://www.wikidata.org/entity/Q308423,Achatinella turgida,203,critically endangered,
10801,http://www.wikidata.org/entity/Q301625,Acerodon humilis,138,endangered species,Talaud Acerodon ; Talaud Flying Fox ; Talaud Flying-fox ; Talaud Fruit Bat
10808,http://www.wikidata.org/entity/Q3933773,Moseleya latistellata,132870,vulnerable,Moseleya coral
10812,http://www.wikidata.org/entity/Q2275724,Mantella manery,57447,vulnerable,Marojejy mantella ; Marojejy Mantella ; Marojezy Mountain Mantella
10820,http://www.wikidata.org/entity/Q3542221,Tupinambis quadrilineatus,,,
10821,http://www.wikidata.org/entity/Q3197234,Kinyongia asheorum,172540,near threatened,Mount Nyiro Bearded Chameleon
10823,http://www.wikidata.org/entity/Q1350649,Callicebus regulus,,,Widow Monkey ; Red-headed Titi
10825,http://www.wikidata.org/entity/Q3946167,Galaxea cryptoramosa,133019,vulnerable,
10827,http://www.wikidata.org/entity/Q3932797,Plerogyra discus,132974,vulnerable,Plerogyra coral
10828,http://www.wikidata.org/entity/Q12823232,Uncia uncia,,,Snow Leopard
10830,http://www.wikidata.org/entity/Q2102596,Stylaster cocosensis,,,
10834,http://www.wikidata.org/entity/Q3947492,Paracyathus humilis,,,
10837,http://www.wikidata.org/entity/Q3993031,Antipathes caribbeana,,,
10840,http://www.wikidata.org/entity/Q3950341,Notophyllia hecki,,,
10841,http://www.wikidata.org/entity/Q2926143,Brookesia lineata,172909,endangered species,Lined Leaf Chameleon
10848,http://www.wikidata.org/entity/Q4012285,Antipathes chota,,,
10858,http://www.wikidata.org/entity/Q3934554,Javania fusca,,,
10860,http://www.wikidata.org/entity/Q3941574,Acropora togianensis,,,
10867,http://www.wikidata.org/entity/Q3938705,Trochocyathus cooperi,,,
10870,http://www.wikidata.org/entity/Q3938903,Scapophyllia cylindrica,133473,least concern,
10872,http://www.wikidata.org/entity/Q3940895,Porites desilveri,132959,endangered species,Stony coral
10893,http://www.wikidata.org/entity/Q3954925,Truncatoflabellum arcuatum,,,
10894,http://www.wikidata.org/entity/Q1215960,Tropidophis pardalis,178404,least concern,Leopard Dwarf Boa ; Spotted Brown Trope
10896,http://www.wikidata.org/entity/Q621748,Pteropus intermedius,136841,data deficient,Andersen's Flying Fox ; Andersen’s Flying Fox
10900,http://www.wikidata.org/entity/Q2678038,Hippocampus multispinus,,,
10904,http://www.wikidata.org/entity/Q3940502,Crispatotrochus irregularis,,,
10911,http://www.wikidata.org/entity/Q2804192,Stylaster divergens,,,
10914,http://www.wikidata.org/entity/Q22111697,Leucopternis albicollis,,,
10918,http://www.wikidata.org/entity/Q2842536,Ameerega pepperi,77187813,vulnerable,
10920,http://www.wikidata.org/entity/Q4012591,Antipathes rhipidion,,,
10923,http://www.wikidata.org/entity/Q1265138,Tyto soumagnei,22688493,vulnerable,Red Owl ; Madagascar Grass Owl ; Madagascar Red Owl ; Soumagne's Owl ; Chouette effraie jaune ; Effraie de Soumagne ; Effraie rousse de Madagascar
10930,http://www.wikidata.org/entity/Q3539447,Trioceros werneri,172547,least concern,Wemer's Chameleon ; Wemer's Three-horned Chameleon
10931,http://www.wikidata.org/entity/Q2189699,Lepidopora biserialis,,,
10935,http://www.wikidata.org/entity/Q3945031,Caulastraea curvata,133695,vulnerable,Caulastrea coral
10937,http://www.wikidata.org/entity/Q4006457,Antipathes umbratica,,,
10940,http://www.wikidata.org/entity/Q3952121,Anthemiphyllia spinifera,,,
10943,http://www.wikidata.org/entity/Q4010377,Bathypathes platycaulus,,,
10951,http://www.wikidata.org/entity/Q3932242,Caryophyllia seguenzae,,,
